name,rarity,image_filename,gacha_types,weight,blog_url,blog_name,description
お手軽缶詰,R,,diet_food,,,,
贅沢缶詰,SR,,diet_food,,,,
高級缶詰,SSR,,diet_food,,,,
お手軽フルーツ,R,,diet_food,,,,
ちょっと贅沢フルーツ,SR,,diet_food,,,,
高級フルーツ,SSR,,diet_food,,,,
お手軽ダイエットゼリー,R,,diet_food,,,,
ちょっと贅沢ダイエットゼリー,SR,,diet_food,,,,
高級ゼリー,SSR,,diet_food,,,,
お手軽ヨーグルト,R,,diet_food,,,,
ちょっと贅沢ヨーグルト,SR,,diet_food,,,,
高級ヨーグルト,SSR,,diet_food,,,,
お手軽主食置き換えかさ増し,R,,diet_food,,,,
ちょっと贅沢主食置き換えかさ増し,SR,,diet_food,,,,
高級主食置き換え,SSR,,diet_food,,,,
お手軽ダイエット茶,R,,diet_food,,,,
ちょっと贅沢なダイエット茶,SR,,diet_food,,,,
高級ダイエット茶,SSR,,diet_food,,,,
ダイエット飲料,R,,diet_food,,,,
ちょっと贅沢ダイエット飲料,SR,,diet_food,,,,
高級ダイエット飲料,SSR,,diet_food,,,,
お手軽魚パウチ,R,,diet_food,,,,
ちょっと贅沢魚パウチ,SR,,diet_food,,,,
高級魚パウチ,SSR,,diet_food,,,,
お手軽ダイエット肉,R,,diet_food,,,,
贅沢ダイエット肉,SR,,diet_food,,,,
高級ダイエット肉,SSR,,diet_food,,,,
お手軽ダイエットアイス,R,,diet_food,,,,
ちょっと贅沢なダイエットアイス,SR,,diet_food,,,,
高級ダイエットアイス,SSR,,diet_food,,,,
お手軽野菜,R,,diet_food,,,,
ちょっと贅沢野菜,SR,,diet_food,,,,
高級野菜,SSR,,diet_food,,,,
お手軽ダイエットおかず,R,,diet_food,,,,
ちょっと贅沢ダイエットおかず,SR,,diet_food,,,,
高級ダイエットおかず,SSR,,diet_food,,,,
お手軽豆腐,R,,diet_food,,,,
ちょっと贅沢豆腐,SR,,diet_food,,,,
高級豆腐,SSR,,diet_food,,,,
お手軽サラダチキン,R,,diet_food,,,,
ちょっと贅沢サラダチキン,SR,,diet_food,,,,
高級サラダチキン,SSR,,diet_food,,,,
お手軽ダイエットスープ,R,,diet_food,,,,
ちょっと贅沢ダイエットスープ,SR,,diet_food,,,,
高級ダイエットスープ,SSR,,diet_food,,,,
お手軽ダイエットおつまみ,R,,diet_food,,,,
ちょっと贅沢ダイエットおつまみ,SR,,diet_food,,,,
高級ダイエットおつまみ,SSR,,diet_food,,,,
お手軽プロテイン,R,,diet_food,,,,
ちょっと贅沢プロテイン,SR,,diet_food,,,,
高級プロテイン,SSR,,diet_food,,,,
お手軽ダイエット和菓子,R,,diet_food,,,,
ちょっと贅沢なダイエット和菓子,SR,,diet_food,,,,
高級ダイエット和菓子,SSR,,diet_food,,,,
お手軽ダイエットお菓子,R,,diet_food,,,,
ちょっと贅沢ダイエット菓子,SR,,diet_food,,,,
高級ダイエット菓子,SSR,,diet_food,,,,
